date	Arab World	East Asia & Pacific	Europe & Central Asia	Fragile and conflict affected situations	Heavily indebted poor countries (HIPC)	IBRD only	IDA & IBRD total	IDA only	Latin America & Caribbean	Least developed countries: UN classification	Low income	Low & middle income	Middle East & North Africa	Middle income	South Asia	Sub-Saharan Africa	Upper middle income	World
1994	58.7162094116211	83.003547668457	95.6731109619141	58.4564895629883	47.5808906555176	76.04139709472659	71.9273300170898	49.1168403625488	86.7970504760742	47.38945007324221	49.558349609375	71.5531005859375	62.0345687866211	73.26312255859379	48.8950881958008	54.689659118652294	83.688362121582	76.1472930908203
1995	59.685230255127	83.5123977661133	95.8122024536133	58.9664916992188	47.5551986694336	76.5565490722656	72.4131774902344	49.6081008911133	87.39913940429692	48.102180480957	49.9178314208984	72.04827880859379	63.544559478759794	73.7866897583008	49.6832695007324	54.9782791137695	84.1984024047852	76.5367889404297
1996	61.1546783447266	84.0223770141602	95.9737319946289	59.5037498474121	48.055259704589794	77.0917892456055	72.9427719116211	50.1578216552734	87.72866821289058	48.636268615722706	50.3739013671875	72.58843994140629	64.8845901489258	74.3413162231445	50.48078918457029	55.659049987793	84.6662902832031	76.9582595825195
1997	61.9118499755859	89.0765228271484	96.0999298095703	60.365451812744105	48.8920783996582	80.0301513671875	75.4657363891602	50.920101165771506	88.0181198120117	49.3986282348633	51.158870697021506	75.1503677368164	65.8217697143555	77.05613708496091	51.2822608947754	56.532039642334006	89.25733184814449	78.9945983886719
1998	63.117618560790994	89.43335723876949	96.3524627685547	61.2371711730957	49.591758728027294	81.60511779785159	76.9546127319336	52.43257141113279	88.4938812255859	50.961509704589794	51.7665405273438	76.6610107421875	67.02426910400389	78.65403747558591	56.1621704101563	57.192569732665994	89.6533432006836	80.207878112793
1999	64.1757736206055	89.7908096313477	96.4646377563477	61.79219055175779	50.3950881958008	81.9821472167969	77.36090087890629	53.2794418334961	88.78929901123051	51.844970703125	52.349681854248	77.0752334594727	68.092399597168	79.0700607299805	56.9161605834961	58.023509979248	89.9910125732422	80.55516052246091
2000	65.1159286499023	90.3135299682617	96.58328247070308	62.63916015625	51.119499206543	82.4714279174805	77.62660217285159	53.980541229248	89.0321502685547	52.31230163574221	52.72489929199221	77.3467178344727	69.1052169799805	79.34767150878909	57.6893501281738	56.6605415344238	90.44329833984379	80.7786178588867
2001	66.33673095703129	90.52139282226558	96.6643600463867	63.498741149902294	52.0006103515625	82.7173614501953	77.9346466064453	54.7038688659668	89.12725830078129	52.9751091003418	53.4491386413574	77.6604537963867	70.2346115112305	79.6439208984375	58.1300392150879	57.6617088317871	90.6493682861328	81.0163192749023
2002	67.5214691162109	90.9091262817383	96.80673217773442	64.2841033935547	52.4675483703613	83.1494064331055	78.3866424560547	55.4430809020996	89.24292755126949	53.6360206604004	53.9297485351563	78.1218795776367	70.6836318969727	80.1190490722656	59.2120704650879	58.17021179199221	90.85549926757808	81.41221618652341
2003	70.1877593994141	91.304443359375	96.89122772216801	64.4421005249023	53.309051513671896	83.81764221191409	79.0312576293945	56.1981201171875	90.0110015869141	54.49568176269529	54.4975090026855	78.7784118652344	73.9425735473633	80.7987365722656	60.101001739502	58.6291084289551	91.4139633178711	81.9416198730469
