"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Age dependency ratio (% of working-age population)","SP.POP.DPND","86.3241106719368","84.9906567004805","83.8800405533571","82.7809658907731","81.4225728464181","79.7555625195863","78.3308614509949","76.3571189890337","74.1721854304636","72.156425891182","70.416642622194","67.9190914740946","65.9778659196183","64.230412736492","62.2343134364363","59.8297805064425","58.5315435539158","56.6158156911582","54.2605615728145","51.9519671674309","50.0711699338244","48.8425243291065","47.9761675028946","47.4831061055127","47.1775893568183","46.7256431148877","47.5886441276947","48.0001914837598","47.8982033028234","47.6021185518392","47.49970333452","45.9361803030645","44.8818396076183","44.3037974683544","43.9429482968941","43.5382416011437","43.9869857916688","44.2454422687373","44.3430083519391","44.3808195178925","44.4243089004403","44.2515527950311","44.0473121540678","43.7714878482513","43.4005286548349","42.9892648341124","43.1487791027825","43.4918204757449","43.9969313387035","44.5928227346578","45.2684069898695","45.1682196457785","44.9549842409509","44.6992649946698","44.5481390684199","44.5927219312103","44.6390643532949","45.0403325716488","45.6736261165169","",
"Afghanistan","AFG","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.6172767258487","82.6886850250391","83.2893865926148","83.604064790853","83.8538365941316","84.1305161554725","85.3376012975116","86.3875875019781","87.2881949799948","88.0043379605373","88.5257786976592","89.7775628610699","90.7112180824127","91.3786718889649","91.803040831359","91.9457615222352","92.9888574822643","93.8584034951692","94.5105139238214","94.8159221657641","94.6074270286494","95.7623066758358","96.7238168536932","97.5152369477709","98.284854301325","99.2641808428638","100.037992321426","100.318450941932","100.41993634108","100.852510893937","102.186696178372","101.855829678157","101.572891144862","101.497709414079","101.361665767309","100.75104326344","101.77945598189","102.821757539625","103.650786641224","104.27581935279","104.856399085617","104.476105278329","103.671183176613","102.663237607573","101.562370847874","100.349127271631","100.97094339462","101.600182820225","102.07865885603","102.249013873754","102.045822933537","100.22446079515","97.9259470792508","95.3387417894031","92.6491409190029","89.9540923341871","87.9417901503625","86.0007530959387","84.0776560757747","",
"Angola","AGO","Age dependency ratio (% of working-age population)","SP.POP.DPND","82.2788984939669","84.6240729114411","87.1294472337665","89.2560925950486","90.4393852856403","90.573142475185","90.7484015803057","90.1425416318575","89.6988497088282","90.2655699963378","92.0102290452076","92.467798448412","93.651950666503","94.9861525108553","95.6869670716792","95.4880772868125","96.6087298003314","96.3111539614087","95.3541280925338","94.7279148288738","94.8269753021395","95.4825942368643","96.7724132898716","98.2922846762129","99.3978714588085","99.8079540517784","100.70005058287","100.932059333441","100.726478582864","100.408470331358","100.118229403213","100.595437051516","100.86532890449","100.946975402031","100.822414723605","100.487402187458","100.629485377627","100.510053432243","100.175170857074","99.6786263829404","99.0711857780217","99.0394029999408","98.8230351414386","98.4779451717664","98.0734397164693","97.6689960093114","97.8260528079362","97.8666455915452","97.8407852704613","97.7668193687844","97.6377143213992","97.9882992271964","98.1454472706984","98.1304781263351","97.9422055741664","97.5692386262848","97.2945881228216","96.8202278267608","96.1757404434103","",
"Albania","ALB","Age dependency ratio (% of working-age population)","SP.POP.DPND","83.7105255645322","84.9544801149976","86.2413916192897","87.4345087638891","88.2875000518946","88.6474133692663","88.8457520942881","88.4590751152463","87.6459813715429","86.6336558211425","85.5468407200904","84.248010442545","83.0188001886383","81.742303209281","80.2611424271688","78.5456232830945","77.0765854435007","75.336069181666","73.4983402405468","71.7870543782261","70.2996245372043","68.9951261485663","67.8736201852696","66.8903443423436","65.9798910546396","65.1303576292172","64.4252878877965","63.8173468823977","63.2750968270249","62.7043668835424","61.9949092909384","62.7154050638775","63.3119794713222","63.7430128765512","64.0772338551349","64.4052543089666","63.3516964577595","62.4245216436637","61.5821835206863","60.7130191494267","59.7235859880878","58.6864512248242","57.5428762040295","56.3167129847716","55.0733346960794","53.8499697049889","52.6195322393179","51.6043424952196","50.7527371212722","50.0440775642123","49.4779086790466","48.1180582286677","47.033079896868","46.2566558556374","45.7746795115992","45.5504024648604","45.6450337108694","45.6820974885622","45.8100373938934","",
"Andorra","AND","Age dependency ratio (% of working-age population)","SP.POP.DPND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.0611098786549","89.4895131637362","90.782450833846","91.8989483711854","92.7280070605915","93.201289558805","94.0875347029857","94.4859222232213","94.5446101458857","94.4342508365348","94.2266661733005","94.5232026920337","94.5916605312616","94.4822877054354","94.2471415754734","93.9376905398201","93.8039909651816","93.5599395929894","93.2248213603943","92.7926358696116","92.2575196665594","91.9656546540772","91.5350637694354","90.9953673043493","90.3831318669034","89.7191278121111","89.4438390254188","89.0285549051142","88.5170698648667","87.9145344961189","87.3320531922152","86.5101705241067","85.8304433963055","84.7042274022232","83.4326232070741","81.8208524006651","80.5449247073731","79.1986666147284","77.8170104291037","76.4227796639016","75.0173327628206","73.6057544678033","72.182099205216","70.7701240205551","69.4003538162869","68.0988245147253","66.9023280594164","65.784309783276","64.7785013252882","63.9138304126377","63.2016235695226","62.5723283211832","62.0893293511709","61.7307649414423","61.4465296616198","61.195307253378","61.2836152501165","61.2539516163519","61.1654736187925","",
"United Arab Emirates","ARE","Age dependency ratio (% of working-age population)","SP.POP.DPND","92.2971285892634","87.1931062660179","81.9270461478549","76.9672455733439","72.4560548705071","68.408927447631","64.7199341021417","61.7143891333752","59.4188096859233","57.7804190263115","56.8277872886797","50.7232757356336","46.335359787775","43.5983275778626","42.2908333789929","42.1278967287055","40.6434231239004","39.9487665528569","40.1868468915899","41.0044582729262","41.9646226447936","43.3741382398586","44.8248508615095","46.4237909353676","48.1197301275873","49.7591097089475","50.0632361775261","49.9026901696055","49.4168662484021","48.6541128636281","47.6337352199288","45.9513930589282","44.2937000120193","42.6755903785159","41.1065224677813","39.6408559463105","38.9109028432376","38.1555552107737","37.687948351125","37.4719995550519","37.2417408074156","33.2185773239705","29.8656351411535","27.2289292077318","25.2451912953858","23.8066185801739","20.9845904931604","18.957695727573","17.6331786071323","16.7554395937332","16.0656853966628","16.5040946734282","16.801401372113","17.0820991836887","17.4160922235298","17.7818275033899","18.164904329899","18.3979811747869","18.6077964237707","",
"Argentina","ARG","Age dependency ratio (% of working-age population)","SP.POP.DPND","57.6839456733605","57.7857523188722","57.7469969007001","57.6099344613124","57.4379393229377","57.2681941273738","57.2614417413472","57.2320079067581","57.1976570165507","57.1783289751794","57.1939834823811","57.4113335096511","57.659439354658","57.9445188857534","58.2811475477094","58.6844378089162","59.4364519194767","60.2856542182465","61.1720134971872","61.9938347955178","62.6908947252488","63.6109064103503","64.1698601754841","64.5131179632834","64.8371300945972","65.2200964967003","65.330909403467","65.6422874287814","65.9735273134042","66.0765089404458","65.8605976059051","65.868105597596","65.546735874131","65.0180027883434","64.4680431381469","63.9796076429906","63.5704005408913","63.1546566465585","62.734881389563","62.2834538796359","61.7882942458613","61.2371690008051","60.7369883944579","60.2508923053724","59.7309685674356","59.1631578930138","58.7495859528039","58.2283808186396","57.6695464060377","57.1799784824247","56.815969153871","56.5417481310706","56.3791879629017","56.292266803898","56.2122404103433","56.103604348639","56.1022705830781","56.0463554436976","55.9544729116194","",
"Armenia","ARM","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.8278044691437","84.7867923774063","87.045748592172","88.5970900402688","89.5104888926585","89.7753233267252","89.3630474681807","88.1476625591197","86.2663690926397","83.9716632032472","81.4713081824467","78.1317869639353","75.156174312539","72.40096013239","69.6523462347703","66.8553889215795","64.7009302113495","62.38680867046","60.1527357088778","58.2693150178663","56.8127653697559","55.7904988509069","55.1743841129492","54.8590410449296","54.6753821456649","54.5485627559062","54.4941688910669","54.5217094696583","54.6989807854441","55.0471699354027","55.4628398937561","56.4995437068151","57.6191603300518","58.7149551124348","59.6515606258548","60.3560246374312","59.9967780674263","59.201272354491","58.0990301028688","56.9179282917098","55.8284298371503","54.4144228048606","53.3587012233402","52.4603091609089","51.4125673561181","50.0633219139124","48.8821909480164","47.3623329395454","45.7750758049767","44.5110323753444","43.7908192969174","43.4816830705323","43.5139006857171","43.839385085219","44.3148939417439","44.838175789912","45.4311576705425","46.0942674249178","46.8153268581115","",
"American Samoa","ASM","Age dependency ratio (% of working-age population)","SP.POP.DPND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
