,country,region,co21980,co2pc1980,co2pc1981,co2pc1982,co2pc1983,co2pc1984,co2pc1985,co2pc1986,co2pc1987,co2pc1988,co2pc1989,co2pc1990,co2pc1991,co2pc1992,co2pc1993,co2pc1994,co2pc1995,co2pc1996,co2pc1997,co2pc1998,co2pc1999,co2pc2000,co2pc2001,co2pc2002,co2pc2003,co2pc2004,co2pc2005,co2pc2006,co2pc2007,co2pc2008,co2pc2009,co2pc2010,co2pc2011,co2pc2012,co2pc2013,co2pc2014,gdppc1980,gdppc1981,gdppc1982,gdppc1983,gdppc1984,gdppc1985,gdppc1986,gdppc1987,gdppc1988,gdppc1989,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,gdppc2011,gdppc2012,gdppc2013,gdppc2014,logco2pc1980,logco2pc1981,logco2pc1982,logco2pc1983,logco2pc1984,logco2pc1985,logco2pc1986,logco2pc1987,logco2pc1988,logco2pc1989,logco2pc1990,logco2pc1991,logco2pc1992,logco2pc1993,logco2pc1994,logco2pc1995,logco2pc1996,logco2pc1997,logco2pc1998,logco2pc1999,logco2pc2000,logco2pc2001,logco2pc2002,logco2pc2003,logco2pc2004,logco2pc2005,logco2pc2006,logco2pc2007,logco2pc2008,logco2pc2009,logco2pc2010,logco2pc2011,logco2pc2012,logco2pc2013,logco2pc2014,loggdppc1980,loggdppc1981,loggdppc1982,loggdppc1983,loggdppc1984,loggdppc1985,loggdppc1986,loggdppc1987,loggdppc1988,loggdppc1989,loggdppc1990,loggdppc1991,loggdppc1992,loggdppc1993,loggdppc1994,loggdppc1995,loggdppc1996,loggdppc1997,loggdppc1998,loggdppc1999,loggdppc2000,loggdppc2001,loggdppc2002,loggdppc2003,loggdppc2004,loggdppc2005,loggdppc2006,loggdppc2007,loggdppc2008,loggdppc2009,loggdppc2010,loggdppc2011,loggdppc2012,loggdppc2013,loggdppc2014,co21980,co21981,co21982,co21983,co21984,co21985,co21986,co21987,co21988,co21989,co21990,co21991,co21992,co21993,co21994,co21995,co21996,co21997,co21998,co21999,co22000,co22001,co22002,co22003,co22004,co22005,co22006,co22007,co22008,co22009,co22010,co22011,co22012,co22013,co22014
42,"Congo, Rep.",latam,44356,0.228938195,0.258404201,0.713993766,0.589609692,0.571076543,0.622974018,0.505167914,0.609668953,0.672115852,0.657229786,0.504132621,0.414794173,0.513978984,0.515697458,0.816329926,0.578314904,0.616034834,0.817225036,0.263379733,0.270339349,0.335345115,0.238166239,0.173912899,0.269084528,0.270548827,0.271271608,0.298636286,0.313142347,0.326342657,0.421068121,0.463337538,0.513982294,0.65856754,0.66791556,0.653359719,959.4264183,1088.974915,1146.304432,1080.822415,1098.441091,1051.871644,875.4508413,1058.228447,991.5173724,1042.049735,1187.551284,1124.901114,1178.023799,749.6348578,672.1631948,781.5235685,912.0139881,810.077492,660.4723724,774.7116899,1029.577037,868.3399509,912.2781532,1026.107674,1324.219142,1680.204588,2064.344523,2165.745759,2956.264407,2314.266025,2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,-1.474303203,-1.353230249,-0.336881048,-0.5282945,-0.560232028,-0.473250466,-0.682864402,-0.494839169,-0.397324555,-0.419721571,-0.684915909,-0.87997285,-0.665572902,-0.662235007,-0.202936685,-0.547636742,-0.484451768,-0.20184078,-1.334158436,-1.308077261,-1.092595083,-1.434786366,-1.749200686,-1.312729718,-1.307302691,-1.304634716,-1.208528881,-1.161097409,-1.119807355,-0.864960651,-0.769299467,-0.665566462,-0.417688197,-0.403593521,-0.42562743,6.866335625,6.992992088,7.044298509,6.985477526,7.001647264,6.958326374,6.774739001,6.964351513,6.899236469,6.948944952,7.079648722,7.025450412,7.071593567,6.619586232,6.51050116,6.661245307,6.815655328,6.697129912,6.492955295,6.652490947,6.936903353,6.766583286,6.815944936,6.933527966,7.188578238,7.426670844,7.632568033,7.680520043,7.991681726,7.746847864,7.9408312,8.096328147,8.017197818,8.021933976,8.00400857,407.037,473.043,1345.789,1144.104,1140.437,1279.783,1067.097,1323.787,1499.803,1507.137,1188.108,1004.758,1279.783,1320.12,2148.862,1565.809,1716.156,2343.213,777.404,821.408,1048.762,766.403,575.719,916.75,949.753,982.756,1118.435,1213.777,1309.119,1745.492,1980.18,2258.872,2970.27,3087.614,3094.948
43,Colombia,latam,25266,1.648892106,1.616879196,1.633862456,1.722127457,1.669896068,1.615251789,1.606056598,1.618419221,1.648060108,1.640109085,1.732107306,1.692051922,1.802576298,1.824446476,1.889645926,1.636794764,1.632508097,1.72065293,1.71974071,1.449048809,1.461619449,1.397899149,1.361734624,1.384189912,1.30884744,1.429045579,1.456923175,1.427394162,1.53855823,1.623721057,1.684432619,1.675976701,1.735179477,1.927535805,1.790356827,1241.639679,1323.37614,1386.673216,1348.804294,1304.176821,1165.042141,1142.939401,1165.982546,1232.226231,1218.210935,1445.328368,1456.693969,1697.112887,1893.54205,2284.838749,2539.912877,2620.538762,2827.379752,2566.02406,2209.93148,2520.480898,2439.681789,2396.627303,2281.401927,2782.623053,3404.190199,3731.168489,4703.213157,5461.780726,5195.393376,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,0.500103611,0.480497869,0.490946817,0.54356042,0.51276139,0.479490851,0.473781856,0.481449883,0.499598904,0.494762755,0.549338763,0.525941947,0.589216918,0.60127664,0.636389471,0.492739917,0.490117542,0.542703829,0.542173529,0.370907347,0.379545033,0.334970502,0.308759346,0.325115067,0.269146933,0.357006794,0.376326798,0.355850518,0.430845764,0.484720464,0.521428782,0.5163961,0.551110853,0.656242402,0.582414945,7.124188107,7.187941432,7.234662788,7.206973771,7.173327332,7.060512538,7.041358645,7.061319398,7.116577756,7.105138615,7.276091819,7.283924742,7.436683785,7.546204455,7.734050731,7.839885059,7.87113521,7.947105679,7.850112922,7.70071679,7.832204995,7.799622895,7.781817738,7.732545413,7.931149306,8.132762363,8.224476731,8.456001205,8.605530156,8.555527623,8.752510259,8.898964237,8.992498961,9.013433098,9.001356629,44356.032,44458.708,45914.507,49449.495,48980.119,48378.731,49101.13,50487.256,52445.434,53233.839,57337.212,57120.859,62049.307,64022.153,67571.809,59614.419,60527.502,64909.567,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,55071.006,60945.54,62940.388,62430.675,68088.856,72661.605,76174.591,76530.29,79951.601,89625.147,84091.644
44,Comoros,mena,21148,0.154861953,0.150094772,0.145806953,0.141837451,0.137990425,0.134157152,0.120308399,0.126564433,0.132327052,0.128463186,0.151457504,0.155721539,0.151234511,0.155079083,0.150716994,0.154272035,0.157598741,0.160720227,0.170761664,0.173348486,0.189314418,0.184706272,0.180298132,0.226353755,0.239461311,0.227828399,0.257569541,0.160026184,0.161805094,0.196081111,0.233942107,0.192025124,0.19756697,0.237376687,0.202812784,689.4029686,618.2186976,562.8115825,570.1405502,534.6320911,553.6324027,763.3357853,896.1165171,918.902129,854.4780299,1043.800803,1000.558651,1047.979551,1008.029494,690.4717309,838.171684,810.5442344,726.0552078,718.1170893,723.1850928,645.8186908,680.3185414,744.4751724,935.611518,1059.176884,1068.600321,1113.957757,1238.461514,1387.594626,1339.337191,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,-1.865221185,-1.896488371,-1.925471772,-1.953073588,-1.98057098,-2.00874339,-2.117696841,-2.067003749,-2.022478754,-2.052112906,-1.887450195,-1.859685873,-1.888923594,-1.863820079,-1.892351413,-1.869037774,-1.84770309,-1.828090146,-1.767486472,-1.752451341,-1.664346059,-1.688988435,-1.713143509,-1.485656216,-1.429363416,-1.479162569,-1.356465533,-1.832417827,-1.821362792,-1.629226874,-1.4526816,-1.650129061,-1.621677664,-1.438107003,-1.595471972,6.53582596,6.426842274,6.332944905,6.34588291,6.28157883,6.316500933,6.63769802,6.798070446,6.823179619,6.750490791,6.950623949,6.908313774,6.954619352,6.915752708,6.537375032,6.731222953,6.697705916,6.587626056,6.576632633,6.583665196,6.4705188,6.522561132,6.612679504,6.841200345,6.965247361,6.97410496,7.0156745,7.121625174,7.235327042,7.199930137,7.181755282,7.27660344,7.246673464,7.31649559,7.321066911,47.671,47.671,47.671,47.671,47.671,47.671,44.004,47.671,51.338,51.338,62.339,66.006,66.006,69.673,69.673,73.34,77.007,80.674,88.008,91.675,102.676,102.676,102.676,132.012,143.013,139.346,161.348,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014
46,Costa Rica,europe,52306,1.031065989,0.916903813,0.826884773,0.811739979,0.751506912,0.828076173,0.927762449,0.955884377,0.993247052,0.978586469,0.94748052,1.042124116,1.153706048,1.172205422,1.523484215,1.372461525,1.307349047,1.341002525,1.397820177,1.42133612,1.381705453,1.428049411,1.542475173,1.591302752,1.640325621,1.602680619,1.633748883,1.844061519,1.821535135,1.748029084,1.653498575,1.6708166,1.656720563,1.602246428,1.618087849,2021.545396,1068.5046,1032.998642,1213.55412,1373.937714,1432.084911,1572.456703,1571.295033,1558.507448,1727.872098,1831.001912,2238.853644,2595.022523,2828.130172,3016.224348,3247.316987,3198.548672,3375.166341,3579.865884,3653.552719,3772.870012,3944.737613,4024.6519,4129.632791,4385.390719,4654.824822,5201.514095,6071.789243,6859.079202,6760.478026,8141.913599,9121.931798,9913.210708,10490.08065,10547.15185,0.030593208,-0.086752705,-0.190089925,-0.208575213,-0.285674872,-0.188650132,-0.074979561,-0.045118318,-0.006775852,-0.021646127,-0.053948902,0.041261049,0.142979411,0.158886951,0.420999958,0.316605861,0.268001459,0.293417487,0.334914007,0.351597359,0.323318572,0.356309465,0.433388381,0.464553022,0.494894772,0.471677614,0.490877302,0.611970486,0.599679626,0.558488916,0.502893392,0.513312489,0.504840084,0.471406662,0.481245112,7.611617545,6.97401538,6.940221155,7.101308622,7.22543614,7.266886641,7.360394454,7.35965542,7.351483878,7.454645929,7.512618589,7.713719248,7.861350475,7.947371056,8.011761112,8.085584392,8.070452446,8.124199888,8.183080616,8.203455321,8.235591267,8.28013772,8.300193702,8.325943769,8.386034004,8.445659557,8.556705034,8.711408609,8.833328485,8.81884888,9.004780517,9.118436881,9.201623562,9.25818539,9.263611136,2464.224,2251.538,2086.523,2104.858,2002.182,2266.206,2607.237,2757.584,2940.934,2973.937,2955.602,3336.97,3791.678,3953.026,5269.479,4866.109,4748.765,4987.12,5317.15,5522.502,5474.831,5760.857,6325.575,6626.269,6930.63,6868.291,7099.312,8122.405,8129.739,7902.385,7568.688,7741.037,7766.706,7598.024,7759.372
48,Cuba,mena,20803,3.188045252,3.308449766,3.476160871,3.090090934,3.250043637,3.226174998,3.296155824,3.300664075,3.42734968,3.402387402,3.146557696,2.783521534,2.914777383,2.723067081,2.975292804,2.361199667,2.467842666,2.242964069,2.219395831,2.285285534,2.344271343,2.279749768,2.329599824,2.269590762,2.222618822,2.309299351,2.433758496,2.381519728,2.709220661,2.663028943,3.418468671,3.202722693,3.21189443,3.084347569,3.080994246,2021.724225,2035.607642,2107.931793,2224.653263,2396.35414,2269.824994,2378.909555,2451.133476,2640.920454,2572.69047,2703.168039,2278.20868,2057.103404,2073.094865,2624.756793,2794.737268,2286.927382,2308.146191,2331.465653,2558.904797,2747.098575,2837.738018,2999.245244,3197.133754,3395.71205,3786.664793,4683.566155,5208.716073,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,1.159407955,1.196479731,1.245928487,1.128200519,1.178668423,1.171297224,1.192756888,1.194123683,1.231787274,1.224477362,1.14630906,1.023716865,1.069793447,1.001758848,1.090342456,0.859169823,0.903344354,0.807798236,0.797235011,0.826490977,0.851974626,0.824065686,0.845696503,0.819599534,0.79868615,0.836944167,0.889436769,0.867738825,0.996661015,0.979464175,1.229192694,1.16400129,1.166860928,1.12634015,1.125252352,7.611706003,7.618549649,7.653462553,7.707356346,7.781703753,7.727458012,7.774397492,7.80430584,7.878882792,7.852707506,7.902179712,7.731144746,7.629054158,7.636797874,7.87274352,7.93549338,7.734964441,7.744199967,7.754252384,7.847334632,7.91830057,7.950762541,8.006115951,8.070009986,8.130268753,8.239240909,8.451815098,8.558088669,8.596239357,8.617883483,8.653532723,8.722534308,8.779145234,8.830208582,8.872535141,31400.521,32749.977,34554.141,30843.137,32603.297,32577.628,33567.718,33952.753,35635.906,35738.582,33344.031,29710.034,31294.178,29380.004,32247.598,25709.337,26996.454,24649.574,24499.227,25331.636,26083.371,25452.647,26090.705,25485.65,25005.273,26006.364,27407.158,26794.769,30443.434,29897.051,38375.155,35987.938,36156.62,34799.83,34836.5
51,Cyprus,northamerica,4721171,4.681356278,4.421643042,4.484997875,4.464367786,4.561978117,4.408623177,4.977944521,5.697877729,5.606500705,5.78090053,5.706555442,5.988953218,6.47189584,6.655497554,6.741662386,6.293269798,6.797248298,6.575327371,7.049889843,6.886173041,7.347295105,7.12950131,7.187885122,7.798570398,7.258454011,7.300729228,7.449694741,7.704846138,7.930294398,7.386876948,6.92787243,6.601579968,6.096342351,5.199799627,5.260461605,4232.022939,4033.240478,4122.784499,4091.048498,4258.743589,4488.287003,5642.631476,6690.577975,7645.629767,8038.914242,9641.575273,9696.099593,11310.07192,10526.14177,11617.69278,15261.42646,15139.22803,14234.24948,15092.82959,15287.91756,14388.3467,14821.44552,16093.21868,20252.24214,23792.61793,24959.26591,26729.32675,31244.92801,35391.04006,32105.86748,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,1.543587871,1.486511356,1.500738022,1.496127611,1.517756327,1.483562436,1.605017059,1.740093777,1.723926765,1.754559472,1.741615592,1.789916642,1.867469086,1.895443213,1.908306539,1.839480776,1.916517868,1.883324367,1.953011992,1.929515494,1.994332233,1.964241289,1.972396987,2.053940435,1.98216686,1.987974237,2.008173057,2.041849499,2.07069016,1.99970504,1.935552757,1.887309009,1.807688977,1.648620092,1.660218781,8.350435394,8.302325421,8.324284063,8.316556573,8.356729464,8.409226394,8.638105809,8.808455543,8.941889491,8.992049309,9.173839784,9.17947898,9.333448928,9.261617134,9.360284455,9.633083778,9.625044537,9.563406275,9.621975048,9.634818093,9.574173901,9.603830433,9.686153262,9.916020789,10.07713064,10.12500041,10.19351662,10.34961234,10.47421396,10.37679408,10.33586979,10.38076601,10.27453182,10.23789699,10.21855931,3208.625,3047.277,3102.282,3098.615,3182.956,3102.282,3545.989,4121.708,4129.042,4341.728,4374.731,4690.093,5181.471,5449.162,5643.513,5383.156,5936.873,5859.866,6406.249,6376.913,6930.63,6846.289,7022.305,7748.371,7334,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551
53,Germany,europe,0,,,,,,,,,,,,11.62264617,11.06332025,10.81424893,10.62839192,10.57946663,10.8602336,10.5111126,10.42527316,10.01775877,10.09563988,10.3662867,10.0586725,9.969354525,9.898682369,9.666372234,9.911476012,9.488039888,9.506321178,8.818595562,9.279634012,9.12485921,9.199299757,9.39062342,8.889370395,12092.38185,10170.44628,9876.228232,9827.022409,9277.932299,9393.891691,13410.8971,16614.4101,17863.4379,17697.16351,22219.57253,23269.3818,26333.53744,25488.51952,27087.55845,31729.69976,30564.24781,27045.71913,27340.67288,26795.99113,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,48142.8272,,,,,,,,,,,,2.452955451,2.403635154,2.38086461,2.363528903,2.358915012,2.385107824,2.35243304,2.34423297,2.304359395,2.312103636,2.338558877,2.308435198,2.29951584,2.292401654,2.268653082,2.293693279,2.250032046,2.251956964,2.176862624,2.227822108,2.21100247,2.219127368,2.239711683,2.184856225,9.400330934,9.22724137,9.19788596,9.192891259,9.135393988,9.147814937,9.503822872,9.718025676,9.790511328,9.781159652,10.00872882,10.05489369,10.17859859,10.14598341,10.2068298,10.36500842,10.32758623,10.20528401,10.21613072,10.19600757,10.07402101,10.07269503,10.13480419,10.32087966,10.43898435,10.45439758,10.50363836,10.64100608,10.72983603,10.63904045,10.64030603,10.75385914,10.69342674,10.74787213,10.78192744,0,,,,,,,,,,,929973.202,891975.748,877645.112,865558.68,864110.215,889614.2,862276.715,855364.42,822460.429,829977.779,853662.932,829724.756,822812.461,816802.248,797180.131,816472.218,780546.619,780564.954,722263.321,758859.981,732497.918,739861.254,757312.507,719883.438
54,Djibouti,asia,947571,0.970484177,0.8019854,0.904207688,0.884619682,0.867037587,0.844349209,0.831279533,0.792735505,0.658536217,0.689354171,0.546573667,0.513632828,0.506776641,0.503957186,0.489038604,0.482815345,0.484258623,0.493843656,0.463452091,0.450533233,0.475248891,0.500262614,0.535119193,0.555137229,0.527521277,0.529037834,0.516892934,0.573643834,0.61089865,0.558141052,0.615387087,0.554126048,0.59558295,0.689150712,0.803830216,,,,,,801.1727273,,761.4703124,748.1952492,725.7425321,766.1409545,762.0113217,777.2623296,753.5201889,790.0322652,789.5517691,767.500315,760.6350212,755.7616936,765.856135,768.1760767,780.9082226,791.3894782,818.8666298,863.2316123,904.7297489,967.6686229,1052.725652,1223.856861,1267.312801,1343.26873,1451.54298,1559.240651,1499.767022,1619.05148,-0.02996018,-0.220664876,-0.100696202,-0.122597464,-0.14267295,-0.169189115,-0.184789159,-0.23226565,-0.41773576,-0.372000104,-0.604086183,-0.666246611,-0.679684923,-0.685263963,-0.715313848,-0.728121007,-0.72513617,-0.705536298,-0.769052263,-0.797323436,-0.743916631,-0.69262209,-0.625265766,-0.588539936,-0.639566079,-0.63669533,-0.659919517,-0.555746574,-0.492824209,-0.583143567,-0.485503799,-0.590363095,-0.518214605,-0.372295292,-0.218367206,,,,,,6.686076563,,6.635251186,6.617663972,6.587195313,6.641366167,6.635961413,6.655777912,6.624755811,6.672073787,6.671465404,6.64313889,6.634153639,6.627726106,6.640994339,6.644018973,6.66045763,6.673790234,6.707921225,6.760683035,6.807636279,6.874889697,6.959137939,7.109762513,7.144654033,7.202861273,7.280382394,7.35195422,7.313065056,7.389595751,348.365,300.694,348.365,348.365,352.032,359.366,377.701,388.702,348.365,388.702,322.696,311.695,311.695,311.695,304.361,304.361,311.695,326.363,315.362,315.362,341.031,366.7,399.703,421.705,407.037,414.371,410.704,462.042,498.712,462.042,517.047,473.043,517.047,608.722,722.399
56,Denmark,mena,121015,11.78401383,10.11194239,10.49196453,9.810842233,9.950133216,11.74744309,11.50329653,11.37930503,10.74325063,9.505090019,9.770698699,11.69331148,10.5045545,10.99825503,11.7169489,10.92454083,13.71465193,11.64768852,11.22730415,10.36266364,9.613175554,9.875092348,9.68193193,10.38827349,9.362701019,8.690076931,10.11291416,9.20201511,8.543351098,8.058895601,8.40721667,7.296383208,6.514800847,6.862565032,5.935712482,13883.88714,12081.80105,11804.43289,11857.89214,11562.91908,12253.10021,17201.08881,21340.72786,22527.04673,21901.05475,26891.44645,27011.37746,29569.66036,27597.97523,29995.57962,35351.36546,35650.71409,32835.93994,33368.14242,33440.79481,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,2.466743853,2.31371714,2.350609681,2.283488124,2.29758594,2.463635608,2.442633649,2.431796357,2.374277709,2.251827447,2.279387978,2.45901701,2.351808925,2.397736627,2.461036417,2.391011711,2.618464745,2.45510775,2.418348682,2.338209312,2.263134611,2.290015662,2.270261461,2.340677621,2.236733819,2.162181792,2.313813237,2.219422494,2.145153331,2.086776525,2.129090464,1.987378774,1.874076642,1.926081283,1.780987068,9.538484248,9.399455554,9.376230409,9.380748928,9.355558626,9.413534262,9.752727964,9.968372632,10.02247194,9.994290077,10.19956354,10.20401344,10.29450413,10.22549769,10.3088053,10.4730923,10.48152446,10.39927892,10.4153569,10.41753184,10.33343542,10.33369907,10.41116904,10.60803889,10.74745699,10.79548202,10.85951808,10.97656073,11.07165799,10.97100945,10.9689118,11.03090832,10.97691037,11.02175856,11.04370528,60369.821,51789.041,53695.881,50175.561,50861.29,60072.794,58903.021,58341.97,55107.676,48785.768,50230.566,60270.812,54322.938,57065.854,61000.545,57172.197,72181.228,61557.929,59552.08,55148.013,51330.666,52918.477,52049.398,55998.757,50600.933,47095.281,54986.665,50256.235,46933.933,44510.046,46640.573,40645.028,36427.978,38532.836,33498.045
58,Algeria,northamerica,428548,3.460646099,2.342523351,1.920016191,2.493859764,3.267070323,3.24482431,3.301704728,3.538318126,3.434399506,3.188334948,2.988109843,2.994245635,2.964986363,2.974812411,3.062919622,3.313688067,3.317745825,2.936511706,3.543876554,3.005719449,2.830379965,2.677772173,2.822388898,2.838319656,2.707388281,3.236168271,3.004365149,3.202067336,3.173224552,3.435787368,3.312560602,3.30557127,3.477108092,3.525557358,3.735520147,2202.997365,2237.086325,2210.301928,2312.655619,2467.346422,2582.879589,2757.130524,2807.330297,2417.376683,2215.847558,2408.688815,1731.611274,1776.036674,1807.328548,1507.865318,1452.269445,1603.937921,1619.806224,1596.003714,1588.346331,1765.022577,1740.606649,1781.826864,2103.381467,2609.952692,3113.094651,3478.710436,3950.513605,4923.630818,3883.271127,4480.785777,5455.84231,5592.22191,5499.587764,5493.056772,1.241455305,0.851228703,0.652333619,0.913831616,1.183893658,1.177061207,1.194438919,1.263651509,1.233842094,1.159498821,1.094641028,1.096692325,1.086872433,1.090180982,1.119368586,1.198061789,1.199285584,1.077222382,1.2652212,1.100516957,1.040410966,0.98498517,1.037583653,1.043212207,0.995984436,1.174389998,1.100066281,1.163796644,1.15474828,1.234246119,1.197721486,1.195609309,1.24620094,1.26003854,1.317887072,7.697574151,7.71292955,7.700884404,7.746151762,7.810898529,7.856660175,7.921945753,7.939989238,7.790438216,7.703390254,7.786837818,7.456807626,7.482139573,7.499605094,7.318450233,7.280882746,7.380217085,7.390061806,7.375258105,7.370448711,7.475918761,7.46198898,7.485394445,7.651301551,7.867087374,8.043372575,8.15441694,8.281600876,8.501801508,8.264433151,8.407553707,8.604442297,8.629131967,8.612428416,8.611240169,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,76970.33,79049.519,80138.618,82210.473,86416.522,95294.329,97098.493,87340.606,106999.393,92045.367,87861.32,84219.989,89907.506,91575.991,88510.379,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145400.217
64,Ecuador,latam,187090,1.682677309,2.036215248,2.293674564,2.267481924,2.403764385,2.143304586,1.643988673,1.587355866,1.770430028,2.028399989,1.644802224,1.575351863,2.079173552,2.208269131,1.218079923,1.994005781,2.067063089,1.53627099,1.841248424,1.727676846,1.633810349,1.789962374,1.89830216,2.017035713,2.136325251,2.188925641,2.052671013,2.230483325,2.33000964,2.441287187,2.428931904,2.532808931,2.464793563,2.610035197,2.753266363,2238.214842,2660.611503,2369.950375,1988.787323,1912.431487,1891.560601,1648.015802,1464.493244,1337.889484,1390.213114,1489.529509,1622.208243,1688.505067,1727.754058,2026.112715,2132.906969,2155.517229,2356.370843,2293.889735,1578.933536,1445.279324,1894.615169,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.836438,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,0.520386161,0.711092814,0.830155145,0.818669931,0.877036002,0.762348837,0.497125407,0.462069655,0.571222471,0.7072473,0.497620148,0.454478652,0.731970484,0.79220901,0.197275785,0.690145571,0.726128802,0.429358045,0.610443833,0.546777642,0.490914924,0.5821946,0.640959887,0.701628965,0.759087181,0.783410849,0.719141878,0.8022183,0.845872405,0.892525436,0.887451615,0.929328936,0.902108057,0.959363707,1.012787975,7.713433882,7.886311264,7.770624295,7.595280347,7.556130741,7.545157482,7.407327299,7.289264553,7.198848639,7.237212334,7.306215583,7.391543613,7.431598841,7.454577612,7.613874318,7.665241102,7.675785987,7.764877936,7.73800423,7.364504921,7.276057886,7.54677102,7.683450585,7.793938017,7.897771483,8.007079603,8.110392083,8.179714651,8.354443473,8.350339184,8.441087302,8.556520782,8.645066483,8.708859422,8.760467399,13443.222,16692.184,19288.42,19556.111,21257.599,19431.433,15276.722,15115.374,17271.57,20267.509,16827.863,16497.833,22280.692,24205.867,13652.241,22841.743,24191.199,18360.669,22460.375,21495.954,20718.55,23116.768,24950.268,26967.118,29046.307,30263.751,28859.29,31888.232,33868.412,36068.612,36460.981,38609.843,38140.467,40997.06,43919.659
67,Eritrea,europe,505364,,,,,,,,,,,,,,,0.390101108,0.424224511,0.460782421,0.394232999,0.267575434,0.276982933,0.26553732,0.265599089,0.243869752,0.279151687,0.283134477,0.271133872,0.19225894,0.193351924,0.135292491,0.164549091,0.161927307,0.18483484,,,,,,,,,,,,,,,,211.3317226,208.9999467,239.668735,262.2311296,315.7511137,312.726247,337.8876643,307.9108725,308.1337836,316.82382,293.9557909,334.5854429,407.7699765,388.5951226,415.0365994,439.8326905,450.6328403,595.1099872,667.7441778,811.3760286,,,,,,,,,,,,,,,,,,-0.941349322,-0.857492457,-0.774829319,-0.930813176,-1.318353756,-1.283799388,-1.325999883,-1.325767291,-1.411120999,-1.275999964,-1.26183331,-1.305142587,-1.64891217,-1.64324331,-2.000316244,-1.804546328,-1.820607767,-1.688292609,,,,,,,,,,,,,,,,5.353429044,5.342333997,5.479257699,5.569226289,5.754954288,5.745328198,5.822713486,5.729810366,5.730534051,5.758345847,5.683429385,5.812892282,6.010703232,5.962537986,6.028366708,6.086394406,6.110652907,6.388746241,6.503905133,6.698731607,,,,0,,,,,,,,,,,,,,865.412,935.085,1012.092,865.412,590.387,619.723,608.722,630.724,605.055,726.066,770.07,766.403,561.051,579.386,414.371,513.38,513.38,594.054,660.06,667.394,696.73
